ID,overetch,distance,coeff(1),coeff(2),coeff(3),coeff(4)
211,0.0,25.0,0.0,1.5,0.0,-1.5
210,0.0,25.0,0.0,1.5,-1.5,1.5
213,0.0,25.0,0.0,1.5,0.0,1.5
212,0.0,25.0,0.0,1.5,0.0,0.0
218,0.0,25.0,1.5,-1.5,-1.5,0.0
215,0.0,25.0,0.0,1.5,1.5,0.0
214,0.0,25.0,0.0,1.5,1.5,-1.5
216,0.0,25.0,0.0,1.5,1.5,1.5
217,0.0,25.0,1.5,-1.5,-1.5,-1.5
220,0.0,25.0,1.5,-1.5,0.0,-1.5
219,0.0,25.0,1.5,-1.5,-1.5,1.5
221,0.0,25.0,1.5,-1.5,0.0,0.0
222,0.0,25.0,1.5,-1.5,0.0,1.5
224,0.0,25.0,1.5,-1.5,1.5,0.0
223,0.0,25.0,1.5,-1.5,1.5,-1.5
225,0.0,25.0,1.5,-1.5,1.5,1.5
226,0.0,25.0,1.5,0.0,-1.5,-1.5
227,0.0,25.0,1.5,0.0,-1.5,0.0
228,0.0,25.0,1.5,0.0,-1.5,1.5
230,0.0,25.0,1.5,0.0,0.0,0.0
233,0.0,25.0,1.5,0.0,1.5,0.0
229,0.0,25.0,1.5,0.0,0.0,-1.5
232,0.0,25.0,1.5,0.0,1.5,-1.5
231,0.0,25.0,1.5,0.0,0.0,1.5
235,0.0,25.0,1.5,1.5,-1.5,-1.5
234,0.0,25.0,1.5,0.0,1.5,1.5
236,0.0,25.0,1.5,1.5,-1.5,0.0
237,0.0,25.0,1.5,1.5,-1.5,1.5
238,0.0,25.0,1.5,1.5,0.0,-1.5
240,0.0,25.0,1.5,1.5,0.0,1.5
239,0.0,25.0,1.5,1.5,0.0,0.0
241,0.0,25.0,1.5,1.5,1.5,-1.5
243,0.0,25.0,1.5,1.5,1.5,1.5
246,0.0,27.5,-1.5,-1.5,-1.5,1.5
245,0.0,27.5,-1.5,-1.5,-1.5,0.0
242,0.0,25.0,1.5,1.5,1.5,0.0
249,0.0,27.5,-1.5,-1.5,0.0,1.5
247,0.0,27.5,-1.5,-1.5,0.0,-1.5
250,0.0,27.5,-1.5,-1.5,1.5,-1.5
244,0.0,27.5,-1.5,-1.5,-1.5,-1.5
248,0.0,27.5,-1.5,-1.5,0.0,0.0
251,0.0,27.5,-1.5,-1.5,1.5,0.0
254,0.0,27.5,-1.5,0.0,-1.5,0.0
253,0.0,27.5,-1.5,0.0,-1.5,-1.5
252,0.0,27.5,-1.5,-1.5,1.5,1.5
255,0.0,27.5,-1.5,0.0,-1.5,1.5
257,0.0,27.5,-1.5,0.0,0.0,0.0
256,0.0,27.5,-1.5,0.0,0.0,-1.5
258,0.0,27.5,-1.5,0.0,0.0,1.5
260,0.0,27.5,-1.5,0.0,1.5,0.0
259,0.0,27.5,-1.5,0.0,1.5,-1.5
261,0.0,27.5,-1.5,0.0,1.5,1.5
264,0.0,27.5,-1.5,1.5,-1.5,1.5
262,0.0,27.5,-1.5,1.5,-1.5,-1.5
263,0.0,27.5,-1.5,1.5,-1.5,0.0
265,0.0,27.5,-1.5,1.5,0.0,-1.5
266,0.0,27.5,-1.5,1.5,0.0,0.0
267,0.0,27.5,-1.5,1.5,0.0,1.5
274,0.0,27.5,0.0,-1.5,0.0,-1.5
271,0.0,27.5,0.0,-1.5,-1.5,-1.5
272,0.0,27.5,0.0,-1.5,-1.5,0.0
270,0.0,27.5,-1.5,1.5,1.5,1.5
269,0.0,27.5,-1.5,1.5,1.5,0.0
276,0.0,27.5,0.0,-1.5,0.0,1.5
273,0.0,27.5,0.0,-1.5,-1.5,1.5
268,0.0,27.5,-1.5,1.5,1.5,-1.5
277,0.0,27.5,0.0,-1.5,1.5,-1.5
279,0.0,27.5,0.0,-1.5,1.5,1.5
275,0.0,27.5,0.0,-1.5,0.0,0.0
280,0.0,27.5,0.0,0.0,-1.5,-1.5
281,0.0,27.5,0.0,0.0,-1.5,0.0
282,0.0,27.5,0.0,0.0,-1.5,1.5
283,0.0,27.5,0.0,0.0,0.0,-1.5
278,0.0,27.5,0.0,-1.5,1.5,0.0
284,0.0,27.5,0.0,0.0,0.0,0.0
285,0.0,27.5,0.0,0.0,0.0,1.5
286,0.0,27.5,0.0,0.0,1.5,-1.5
287,0.0,27.5,0.0,0.0,1.5,0.0
289,0.0,27.5,0.0,1.5,-1.5,-1.5
288,0.0,27.5,0.0,0.0,1.5,1.5
290,0.0,27.5,0.0,1.5,-1.5,0.0
291,0.0,27.5,0.0,1.5,-1.5,1.5
292,0.0,27.5,0.0,1.5,0.0,-1.5
293,0.0,27.5,0.0,1.5,0.0,0.0
294,0.0,27.5,0.0,1.5,0.0,1.5
295,0.0,27.5,0.0,1.5,1.5,-1.5
296,0.0,27.5,0.0,1.5,1.5,0.0
298,0.0,27.5,1.5,-1.5,-1.5,-1.5
297,0.0,27.5,0.0,1.5,1.5,1.5
301,0.0,27.5,1.5,-1.5,0.0,-1.5
299,0.0,27.5,1.5,-1.5,-1.5,0.0
302,0.0,27.5,1.5,-1.5,0.0,0.0
300,0.0,27.5,1.5,-1.5,-1.5,1.5
303,0.0,27.5,1.5,-1.5,0.0,1.5
304,0.0,27.5,1.5,-1.5,1.5,-1.5
305,0.0,27.5,1.5,-1.5,1.5,0.0
307,0.0,27.5,1.5,0.0,-1.5,-1.5
308,0.0,27.5,1.5,0.0,-1.5,0.0
310,0.0,27.5,1.5,0.0,0.0,-1.5
311,0.0,27.5,1.5,0.0,0.0,0.0
309,0.0,27.5,1.5,0.0,-1.5,1.5
313,0.0,27.5,1.5,0.0,1.5,-1.5
306,0.0,27.5,1.5,-1.5,1.5,1.5
314,0.0,27.5,1.5,0.0,1.5,0.0
312,0.0,27.5,1.5,0.0,0.0,1.5
315,0.0,27.5,1.5,0.0,1.5,1.5
316,0.0,27.5,1.5,1.5,-1.5,-1.5
319,0.0,27.5,1.5,1.5,0.0,-1.5
318,0.0,27.5,1.5,1.5,-1.5,1.5
317,0.0,27.5,1.5,1.5,-1.5,0.0
321,0.0,27.5,1.5,1.5,0.0,1.5
322,0.0,27.5,1.5,1.5,1.5,-1.5
320,0.0,27.5,1.5,1.5,0.0,0.0
323,0.0,27.5,1.5,1.5,1.5,0.0
324,0.0,27.5,1.5,1.5,1.5,1.5
325,0.0,30.0,-1.5,-1.5,-1.5,-1.5
326,0.0,30.0,-1.5,-1.5,-1.5,0.0
327,0.0,30.0,-1.5,-1.5,-1.5,1.5
328,0.0,30.0,-1.5,-1.5,0.0,-1.5
329,0.0,30.0,-1.5,-1.5,0.0,0.0
330,0.0,30.0,-1.5,-1.5,0.0,1.5
331,0.0,30.0,-1.5,-1.5,1.5,-1.5
333,0.0,30.0,-1.5,-1.5,1.5,1.5
334,0.0,30.0,-1.5,0.0,-1.5,-1.5
332,0.0,30.0,-1.5,-1.5,1.5,0.0
335,0.0,30.0,-1.5,0.0,-1.5,0.0
336,0.0,30.0,-1.5,0.0,-1.5,1.5
337,0.0,30.0,-1.5,0.0,0.0,-1.5
339,0.0,30.0,-1.5,0.0,0.0,1.5
343,0.0,30.0,-1.5,1.5,-1.5,-1.5
341,0.0,30.0,-1.5,0.0,1.5,0.0
342,0.0,30.0,-1.5,0.0,1.5,1.5
344,0.0,30.0,-1.5,1.5,-1.5,0.0
345,0.0,30.0,-1.5,1.5,-1.5,1.5
338,0.0,30.0,-1.5,0.0,0.0,0.0
340,0.0,30.0,-1.5,0.0,1.5,-1.5
347,0.0,30.0,-1.5,1.5,0.0,0.0
346,0.0,30.0,-1.5,1.5,0.0,-1.5
349,0.0,30.0,-1.5,1.5,1.5,-1.5
350,0.0,30.0,-1.5,1.5,1.5,0.0
352,0.0,30.0,0.0,-1.5,-1.5,-1.5
351,0.0,30.0,-1.5,1.5,1.5,1.5
348,0.0,30.0,-1.5,1.5,0.0,1.5
356,0.0,30.0,0.0,-1.5,0.0,0.0
354,0.0,30.0,0.0,-1.5,-1.5,1.5
355,0.0,30.0,0.0,-1.5,0.0,-1.5
353,0.0,30.0,0.0,-1.5,-1.5,0.0
358,0.0,30.0,0.0,-1.5,1.5,-1.5
357,0.0,30.0,0.0,-1.5,0.0,1.5
359,0.0,30.0,0.0,-1.5,1.5,0.0
361,0.0,30.0,0.0,0.0,-1.5,-1.5
360,0.0,30.0,0.0,-1.5,1.5,1.5
362,0.0,30.0,0.0,0.0,-1.5,0.0
363,0.0,30.0,0.0,0.0,-1.5,1.5
364,0.0,30.0,0.0,0.0,0.0,-1.5
365,0.0,30.0,0.0,0.0,0.0,0.0
371,0.0,30.0,0.0,1.5,-1.5,0.0
367,0.0,30.0,0.0,0.0,1.5,-1.5
366,0.0,30.0,0.0,0.0,0.0,1.5
368,0.0,30.0,0.0,0.0,1.5,0.0
369,0.0,30.0,0.0,0.0,1.5,1.5
372,0.0,30.0,0.0,1.5,-1.5,1.5
370,0.0,30.0,0.0,1.5,-1.5,-1.5
373,0.0,30.0,0.0,1.5,0.0,-1.5
375,0.0,30.0,0.0,1.5,0.0,1.5
374,0.0,30.0,0.0,1.5,0.0,0.0
377,0.0,30.0,0.0,1.5,1.5,0.0
376,0.0,30.0,0.0,1.5,1.5,-1.5
379,0.0,30.0,1.5,-1.5,-1.5,-1.5
381,0.0,30.0,1.5,-1.5,-1.5,1.5
378,0.0,30.0,0.0,1.5,1.5,1.5
380,0.0,30.0,1.5,-1.5,-1.5,0.0
382,0.0,30.0,1.5,-1.5,0.0,-1.5
384,0.0,30.0,1.5,-1.5,0.0,1.5
383,0.0,30.0,1.5,-1.5,0.0,0.0
385,0.0,30.0,1.5,-1.5,1.5,-1.5
386,0.0,30.0,1.5,-1.5,1.5,0.0
388,0.0,30.0,1.5,0.0,-1.5,-1.5
391,0.0,30.0,1.5,0.0,0.0,-1.5
390,0.0,30.0,1.5,0.0,-1.5,1.5
389,0.0,30.0,1.5,0.0,-1.5,0.0
387,0.0,30.0,1.5,-1.5,1.5,1.5
392,0.0,30.0,1.5,0.0,0.0,0.0
395,0.0,30.0,1.5,0.0,1.5,0.0
394,0.0,30.0,1.5,0.0,1.5,-1.5
393,0.0,30.0,1.5,0.0,0.0,1.5
397,0.0,30.0,1.5,1.5,-1.5,-1.5
399,0.0,30.0,1.5,1.5,-1.5,1.5
400,0.0,30.0,1.5,1.5,0.0,-1.5
396,0.0,30.0,1.5,0.0,1.5,1.5
398,0.0,30.0,1.5,1.5,-1.5,0.0
401,0.0,30.0,1.5,1.5,0.0,0.0
402,0.0,30.0,1.5,1.5,0.0,1.5
403,0.0,30.0,1.5,1.5,1.5,-1.5
404,0.0,30.0,1.5,1.5,1.5,0.0
405,0.0,30.0,1.5,1.5,1.5,1.5
406,0.125,20.0,-1.5,-1.5,-1.5,-1.5
410,0.125,20.0,-1.5,-1.5,0.0,0.0
409,0.125,20.0,-1.5,-1.5,0.0,-1.5
411,0.125,20.0,-1.5,-1.5,0.0,1.5
407,0.125,20.0,-1.5,-1.5,-1.5,0.0
408,0.125,20.0,-1.5,-1.5,-1.5,1.5
412,0.125,20.0,-1.5,-1.5,1.5,-1.5
413,0.125,20.0,-1.5,-1.5,1.5,0.0
414,0.125,20.0,-1.5,-1.5,1.5,1.5
415,0.125,20.0,-1.5,0.0,-1.5,-1.5
417,0.125,20.0,-1.5,0.0,-1.5,1.5
418,0.125,20.0,-1.5,0.0,0.0,-1.5
416,0.125,20.0,-1.5,0.0,-1.5,0.0
419,0.125,20.0,-1.5,0.0,0.0,0.0
421,0.125,20.0,-1.5,0.0,1.5,-1.5
420,0.125,20.0,-1.5,0.0,0.0,1.5
422,0.125,20.0,-1.5,0.0,1.5,0.0
423,0.125,20.0,-1.5,0.0,1.5,1.5
424,0.125,20.0,-1.5,1.5,-1.5,-1.5
